学生ID,姓名,性别,年级,专业,入学年份,生源地,联系电话,宿舍号
STU000116,学生116,女,大三,物流管理,2020,上海,13191969690,C区3栋148
STU000117,学生117,男,大三,计算机科学,2022,福建,18621828280,C区3栋227
STU000118,学生118,女,大一,市场营销,2022,山东,19174316370,C区4栋509
STU000119,学生119,女,大一,数据科学,2020,湖北,19671988889,D区4栋447
STU000120,学生120,男,大二,物流管理,2022,四川,19235034324,B区4栋609
STU000121,学生121,女,大二,物流管理,2023,北京,14808402051,C区5栋373
STU000122,学生122,男,大三,电子商务,2021,浙江,16690347116,A区6栋534
STU000123,学生123,女,大三,工商管理,2021,广东,14384602384,A区4栋284
STU000124,学生124,男,大三,电子商务,2021,北京,17751325257,C区3栋205
STU000125,学生125,男,大二,物流管理,2020,江苏,16327416584,A区3栋402
STU000126,学生126,女,大四,数据科学,2022,上海,17910959828,C区4栋536
STU000127,学生127,女,大四,计算机科学,2023,上海,18840739735,B区6栋554
STU000128,学生128,男,大二,计算机科学,2023,广东,14865523129,C区4栋143
STU000129,学生129,女,大二,数据科学,2020,河南,15528414718,C区5栋545
STU000130,学生130,女,大二,物流管理,2023,河南,18797801251,C区6栋158
STU000131,学生131,女,大二,信息管理,2023,湖北,15570406376,A区6栋515
STU000132,学生132,男,大二,计算机科学,2023,四川,17584779555,C区5栋263
STU000133,学生133,男,大二,信息管理,2023,山东,13366186631,A区2栋548
STU000134,学生134,男,大三,计算机科学,2022,江苏,14168747287,A区2栋168
STU000135,学生135,男,大三,计算机科学,2023,北京,15122585366,B区6栋475
STU000136,学生136,男,大三,工商管理,2021,河南,17694768704,C区4栋680
STU000137,学生137,男,大三,工商管理,2020,湖北,14731832764,A区5栋257
STU000138,学生138,男,大二,市场营销,2022,湖北,14107721109,D区3栋480
STU000139,学生139,男,大四,电子商务,2023,广东,13860038427,D区1栋687
STU000140,学生140,男,大一,数据科学,2022,江苏,18163215224,B区5栋475
STU000141,学生141,女,大二,数据科学,2023,福建,14172370545,D区3栋385
STU000142,学生142,男,大一,数据科学,2021,山东,13454794895,B区1栋126
STU000143,学生143,女,大四,市场营销,2020,四川,13652070932,B区4栋630
STU000144,学生144,女,大三,工商管理,2023,浙江,14399012686,D区5栋220
STU000145,学生145,女,大四,物流管理,2023,广东,18621209849,C区3栋556
STU000146,学生146,男,大二,信息管理,2023,山东,14678998028,B区5栋392
STU000147,学生147,男,大三,信息管理,2023,浙江,14876693898,D区2栋225
STU000148,学生148,男,大二,物流管理,2020,浙江,17718702544,B区1栋562
STU000149,学生149,男,大三,市场营销,2020,江苏,16360916298,B区6栋555
STU000150,学生150,女,大一,物流管理,2021,江苏,19607850824,A区6栋427
STU000151,学生151,男,大一,数据科学,2020,北京,19537077308,C区6栋166
STU000152,学生152,男,大一,电子商务,2023,湖北,14201281557,C区3栋261
STU000153,学生153,男,大四,计算机科学,2021,山东,13807577342,B区3栋620
STU000154,学生154,男,大二,信息管理,2021,广东,16480424119,B区1栋305
STU000155,学生155,男,大四,工商管理,2021,上海,16541417711,B区2栋605
STU000156,学生156,女,大一,工商管理,2023,广东,16882839238,A区3栋667
STU000157,学生157,男,大二,市场营销,2022,北京,13823019672,C区4栋664
STU000158,学生158,女,大一,工商管理,2023,四川,18793830224,B区5栋188
STU000159,学生159,男,大四,数据科学,2020,湖北,13165082363,A区3栋507
STU000160,学生160,女,大四,信息管理,2020,上海,16881913386,D区5栋520
STU000161,学生161,男,大四,物流管理,2023,河南,15959629660,D区5栋175
STU000162,学生162,男,大一,数据科学,2023,四川,19217326729,B区3栋175
STU000163,学生163,女,大二,市场营销,2021,江苏,14305718272,D区4栋629
STU000164,学生164,女,大二,数据科学,2023,浙江,14675832441,C区2栋664
STU000165,学生165,女,大一,物流管理,2021,河南,16250519597,B区2栋543
STU000166,学生166,男,大二,电子商务,2020,广东,16297018781,A区1栋630
STU000167,学生167,女,大一,市场营销,2021,广东,15596743109,B区3栋268
STU000168,学生168,男,大二,电子商务,2023,江苏,14180943908,B区3栋330
STU000169,学生169,男,大三,计算机科学,2020,北京,16967607278,C区5栋390
STU000170,学生170,女,大三,电子商务,2022,山东,19690907304,A区3栋301
STU000171,学生171,女,大四,计算机科学,2021,河南,13154318806,C区2栋410
STU000172,学生172,男,大三,计算机科学,2020,河南,18680451872,A区5栋272
STU000173,学生173,男,大三,电子商务,2021,福建,19115846122,B区2栋445
STU000174,学生174,女,大三,市场营销,2020,四川,13909134796,A区1栋183
STU000175,学生175,女,大一,物流管理,2020,湖北,19353810544,A区6栋690
STU000176,学生176,女,大三,数据科学,2021,四川,14536383774,C区6栋315
STU000177,学生177,男,大三,数据科学,2022,山东,16616854671,D区5栋131
STU000178,学生178,男,大四,物流管理,2020,广东,14530613729,D区6栋658
STU000179,学生179,男,大三,信息管理,2020,广东,13276777762,C区6栋409
STU000180,学生180,男,大三,信息管理,2020,广东,16102314313,D区2栋515
STU000181,学生181,男,大二,计算机科学,2022,福建,16384759615,C区4栋174
STU000182,学生182,男,大四,计算机科学,2022,广东,19943026227,A区2栋550
STU000183,学生183,女,大四,市场营销,2023,山东,16406284028,D区4栋575
STU000184,学生184,男,大四,工商管理,2021,江苏,16847959430,B区3栋247
STU000185,学生185,男,大四,电子商务,2022,湖北,18941128035,C区6栋426
STU000186,学生186,男,大四,计算机科学,2021,山东,17810678904,C区4栋233
STU000187,学生187,女,大四,数据科学,2023,湖北,18622559454,C区5栋675
STU000188,学生188,男,大一,市场营销,2021,山东,14303901283,A区3栋347
STU000189,学生189,男,大三,电子商务,2022,广东,15333754555,D区1栋373
STU000190,学生190,女,大四,市场营销,2021,江苏,13721890096,D区2栋244
STU000191,学生191,男,大三,电子商务,2022,河南,18682177668,A区1栋397
STU000192,学生192,男,大三,电子商务,2021,四川,13903132646,D区5栋528
STU000193,学生193,男,大一,物流管理,2022,浙江,15161380746,B区2栋435
STU000194,学生194,男,大四,计算机科学,2022,江苏,13727255918,C区2栋263
STU000195,学生195,男,大二,市场营销,2021,河南,16639931481,D区5栋578
STU000196,学生196,女,大一,市场营销,2023,北京,19670292350,D区3栋609
STU000197,学生197,女,大二,物流管理,2020,山东,14161073976,A区1栋502
STU000198,学生198,女,大三,数据科学,2023,北京,17186019028,D区2栋320
STU000199,学生199,男,大三,数据科学,2021,河南,19299528037,C区1栋151
STU000200,学生200,男,大一,信息管理,2023,江苏,13738914080,C区4栋581
STU000201,学生201,男,大一,计算机科学,2022,山东,13825003955,C区5栋108
STU000202,学生202,女,大二,计算机科学,2020,浙江,19352548261,A区4栋237
STU000203,学生203,男,大四,工商管理,2021,广东,16228727266,C区6栋474
STU000204,学生204,男,大二,物流管理,2021,山东,17364371717,D区3栋146
STU000205,学生205,女,大一,数据科学,2021,山东,17738360085,D区1栋683
STU000206,学生206,男,大二,电子商务,2020,江苏,13765055833,B区3栋666
STU000207,学生207,女,大一,市场营销,2022,江苏,13550139320,C区1栋495
STU000208,学生208,女,大二,计算机科学,2021,河南,18726713347,D区5栋386
STU000209,学生209,女,大一,市场营销,2023,上海,17661333669,A区2栋199
STU000210,学生210,男,大一,市场营销,2021,山东,15379995032,D区3栋447
STU000211,学生211,男,大一,工商管理,2021,四川,14819112790,C区2栋303
STU000212,学生212,男,大四,数据科学,2021,山东,18437352358,D区5栋141
STU000213,学生213,男,大二,计算机科学,2021,河南,14385201412,A区1栋240
STU000214,学生214,男,大二,市场营销,2022,湖北,16240529481,C区4栋631
STU000215,学生215,男,大二,计算机科学,2023,北京,18793101194,D区2栋627
STU000216,学生216,男,大一,电子商务,2022,广东,15590941149,B区3栋426
STU000217,学生217,女,大二,工商管理,2023,上海,15907308348,B区4栋406
STU000218,学生218,男,大二,电子商务,2021,浙江,13110002396,C区5栋621
STU000219,学生219,女,大一,计算机科学,2020,浙江,16766964667,D区6栋676
STU000220,学生220,男,大三,信息管理,2022,浙江,17207354053,C区4栋117
STU000221,学生221,男,大一,计算机科学,2020,江苏,13677280546,C区3栋212
STU000222,学生222,男,大二,数据科学,2022,浙江,14643189555,D区5栋415
STU000223,学生223,女,大一,市场营销,2021,广东,15242224154,A区5栋585
STU000224,学生224,女,大三,市场营销,2022,北京,15173864104,C区6栋692
STU000225,学生225,女,大一,电子商务,2021,浙江,14496776692,B区6栋152
STU000226,学生226,女,大二,工商管理,2022,山东,15269379374,D区2栋636
STU000227,学生227,男,大三,信息管理,2021,山东,16995226828,D区2栋348
STU000228,学生228,女,大四,物流管理,2021,江苏,17855420240,A区5栋212
STU000229,学生229,男,大二,市场营销,2023,广东,15756783995,B区1栋551
STU000230,学生230,男,大三,数据科学,2021,北京,19802201721,C区4栋255
STU000231,学生231,女,大三,电子商务,2023,上海,17108399996,D区6栋308
STU000232,学生232,女,大四,电子商务,2021,河南,18977358886,D区5栋582
STU000233,学生233,女,大一,物流管理,2020,北京,17421455482,A区6栋241
STU000234,学生234,女,大一,数据科学,2021,河南,18211225158,B区5栋432
STU000235,学生235,女,大二,工商管理,2020,湖北,14383968123,D区5栋485
STU000236,学生236,女,大四,数据科学,2020,河南,13214929002,C区2栋570
STU000237,学生237,女,大一,工商管理,2021,四川,18694019365,C区5栋462
STU000238,学生238,女,大四,数据科学,2020,山东,14392431670,C区5栋595
STU000239,学生239,男,大一,数据科学,2023,广东,15749431082,B区2栋385
STU000240,学生240,女,大三,计算机科学,2022,福建,14870530217,C区2栋404
STU000241,学生241,女,大一,电子商务,2021,江苏,15318610946,C区6栋312
STU000242,学生242,男,大四,数据科学,2020,四川,18781007818,D区3栋591
STU000243,学生243,女,大三,物流管理,2021,河南,19383450553,C区5栋380
STU000244,学生244,男,大三,数据科学,2023,浙江,17624557080,C区1栋687
STU000245,学生245,男,大三,市场营销,2021,广东,15154544899,D区4栋453
STU000246,学生246,女,大四,电子商务,2021,四川,13781057736,B区3栋143
STU000247,学生247,男,大二,市场营销,2020,江苏,16990505735,C区6栋180
STU000248,学生248,男,大二,电子商务,2023,山东,15147337803,C区4栋362
STU000249,学生249,男,大二,市场营销,2022,广东,13458153605,D区2栋306
STU000250,学生250,男,大四,数据科学,2022,江苏,19240466536,C区5栋378
STU000251,学生251,女,大三,数据科学,2020,湖北,18381272327,B区1栋345
STU000252,学生252,男,大二,计算机科学,2021,湖北,14895890631,B区1栋643
STU000253,学生253,女,大四,物流管理,2020,江苏,16692362342,B区6栋338
STU000254,学生254,男,大二,市场营销,2020,四川,18559225330,A区1栋523
STU000255,学生255,男,大一,工商管理,2020,广东,17110382761,C区6栋583
STU000256,学生256,男,大二,计算机科学,2021,四川,13180792472,A区6栋240
STU000257,学生257,男,大二,市场营销,2023,上海,18260045822,A区5栋261
STU000258,学生258,女,大三,市场营销,2020,河南,17138684919,D区6栋587
STU000259,学生259,女,大四,计算机科学,2021,上海,19496442646,D区6栋304
STU000260,学生260,男,大三,数据科学,2023,湖北,17693269304,C区3栋392
STU000261,学生261,男,大三,市场营销,2020,山东,14561479973,A区1栋687
STU000262,学生262,女,大三,数据科学,2022,北京,14144913399,B区5栋138
STU000263,学生263,男,大三,计算机科学,2023,河南,15491541578,B区4栋280
STU000264,学生264,男,大三,数据科学,2020,湖北,19142836793,A区4栋607
STU000265,学生265,男,大二,电子商务,2023,四川,15325567963,B区6栋396
STU000266,学生266,女,大三,工商管理,2023,四川,18367930513,A区1栋405
STU000267,学生267,女,大三,信息管理,2023,四川,18210373808,A区3栋391
STU000268,学生268,女,大四,市场营销,2023,山东,15937643439,D区6栋656
STU000269,学生269,男,大一,物流管理,2023,上海,17536344399,D区2栋616
STU000270,学生270,男,大二,工商管理,2023,北京,17904745462,D区3栋297
STU000271,学生271,女,大二,信息管理,2020,四川,14354194771,A区3栋266
STU000272,学生272,女,大二,数据科学,2022,福建,19274484941,D区6栋363
STU000273,学生273,女,大三,市场营销,2021,河南,19970559510,B区1栋445
STU000274,学生274,女,大三,数据科学,2023,广东,14542697755,C区5栋297
STU000275,学生275,男,大三,电子商务,2021,福建,13292587044,B区5栋515
STU000276,学生276,女,大四,计算机科学,2020,北京,18456681425,D区5栋435
STU000277,学生277,男,大一,市场营销,2023,山东,19542073642,A区4栋197
STU000278,学生278,女,大三,信息管理,2022,北京,19819307302,B区2栋588
STU000279,学生279,男,大一,信息管理,2021,广东,19889262019,C区2栋106
STU000280,学生280,女,大四,电子商务,2023,河南,19366467544,C区4栋341
STU000281,学生281,女,大二,电子商务,2020,广东,15270937380,D区3栋437
STU000282,学生282,女,大三,市场营销,2022,江苏,19852991721,C区5栋686
STU000283,学生283,女,大一,数据科学,2021,河南,13510751046,A区3栋468
STU000284,学生284,男,大一,物流管理,2021,北京,19141580226,B区1栋221
STU000285,学生285,女,大三,信息管理,2023,四川,19605399561,D区3栋263
STU000286,学生286,男,大二,信息管理,2022,北京,14314289692,D区6栋614
STU000287,学生287,男,大二,电子商务,2022,北京,19594246837,C区6栋220
STU000288,学生288,男,大二,工商管理,2022,河南,15427696198,C区3栋326
STU000289,学生289,男,大四,电子商务,2022,江苏,19953995721,B区2栋589
STU000290,学生290,女,大一,物流管理,2020,北京,19344378798,B区4栋482
STU000291,学生291,男,大一,数据科学,2022,福建,14125409494,D区6栋662
STU000292,学生292,男,大一,数据科学,2021,湖北,18307371533,D区5栋323
STU000293,学生293,男,大四,工商管理,2021,浙江,16452468587,B区6栋183
STU000294,学生294,女,大一,信息管理,2020,浙江,15174539964,D区5栋470
STU000295,学生295,女,大四,电子商务,2021,北京,19399708182,A区5栋214
STU000296,学生296,女,大二,数据科学,2021,福建,15788785773,A区5栋617
STU000297,学生297,女,大三,物流管理,2022,四川,17529151399,B区5栋649
STU000298,学生298,男,大一,市场营销,2021,山东,18675757257,B区2栋435
STU000299,学生299,男,大一,计算机科学,2020,山东,15129635852,D区1栋310
STU000300,学生300,女,大二,计算机科学,2022,河南,13380477683,D区1栋622
STU000301,学生301,男,大三,计算机科学,2023,浙江,14723403479,D区1栋564
STU000302,学生302,男,大四,信息管理,2022,北京,15141078352,B区5栋525
STU000303,学生303,男,大三,电子商务,2020,山东,13740563507,D区5栋159
STU000304,学生304,女,大二,工商管理,2022,北京,16471178705,D区6栋415
STU000305,学生305,女,大二,数据科学,2022,河南,18944420824,A区4栋360
STU000306,学生306,男,大三,市场营销,2020,浙江,15568574364,A区6栋323
STU000307,学生307,女,大四,物流管理,2022,广东,17649136331,A区1栋533
STU000308,学生308,女,大四,市场营销,2020,湖北,13513600440,C区6栋165
STU000309,学生309,女,大一,物流管理,2020,湖北,17304095531,A区1栋583
STU000310,学生310,女,大四,信息管理,2023,山东,15147659674,A区3栋518
STU000311,学生311,女,大三,电子商务,2021,湖北,18568213197,B区2栋530
STU000312,学生312,男,大二,计算机科学,2021,广东,13658260221,C区4栋559
STU000313,学生313,女,大一,电子商务,2022,北京,19678158427,D区4栋182
STU000314,学生314,男,大一,信息管理,2022,河南,18872482077,B区6栋456
STU000315,学生315,男,大二,工商管理,2023,广东,18891388192,A区2栋650
STU000316,学生316,女,大四,工商管理,2023,河南,18311564862,D区5栋230
STU000317,学生317,男,大二,信息管理,2023,河南,15563102056,B区1栋123
STU000318,学生318,男,大四,物流管理,2020,浙江,13813219781,C区4栋657
STU000319,学生319,男,大二,数据科学,2023,北京,15769108025,D区5栋488
STU000320,学生320,女,大三,数据科学,2023,福建,15812306873,B区2栋571
STU000321,学生321,女,大四,物流管理,2022,湖北,19233815413,C区2栋382
STU000322,学生322,男,大三,工商管理,2023,福建,18422468580,B区6栋215
STU000323,学生323,女,大一,工商管理,2020,浙江,17432091877,A区6栋529
STU000324,学生324,女,大二,工商管理,2020,河南,18538508549,A区2栋311
STU000325,学生325,女,大一,电子商务,2022,山东,15532074125,A区1栋134
STU000326,学生326,女,大一,工商管理,2023,湖北,18417457352,D区5栋149
STU000327,学生327,男,大一,市场营销,2023,湖北,17236674237,B区6栋145
STU000328,学生328,男,大一,计算机科学,2020,北京,14551450815,D区4栋339
STU000329,学生329,女,大二,工商管理,2023,江苏,18507104143,B区1栋243
STU000330,学生330,女,大一,物流管理,2023,上海,18903303363,C区2栋689
STU000331,学生331,男,大二,计算机科学,2023,上海,14760904107,C区5栋428
STU000332,学生332,男,大二,电子商务,2021,上海,17423142470,B区3栋246
STU000333,学生333,女,大三,物流管理,2022,江苏,16688343096,B区4栋407
STU000334,学生334,男,大四,计算机科学,2021,北京,19100435874,C区1栋670
STU000335,学生335,女,大四,物流管理,2022,江苏,15408071259,B区6栋537
STU000336,学生336,女,大二,电子商务,2020,上海,14561588882,D区1栋452
STU000337,学生337,男,大三,市场营销,2023,浙江,19722753913,D区5栋426
STU000338,学生338,男,大二,电子商务,2022,广东,17802984810,D区4栋252
STU000339,学生339,女,大二,电子商务,2021,河南,15599277266,C区4栋288
STU000340,学生340,女,大二,物流管理,2023,江苏,16574765466,D区2栋330
STU000341,学生341,男,大三,信息管理,2020,北京,18329460134,C区6栋247
STU000342,学生342,女,大四,数据科学,2022,北京,17608079792,D区1栋675
STU000343,学生343,男,大三,工商管理,2022,福建,19954725078,D区4栋670
STU000344,学生344,女,大一,工商管理,2022,广东,18282204745,B区4栋348
STU000345,学生345,男,大三,市场营销,2023,山东,18191048514,C区2栋438
STU000346,学生346,男,大三,市场营销,2021,湖北,15653462378,A区4栋479
STU000347,学生347,男,大三,工商管理,2021,上海,18779615069,A区5栋295
STU000348,学生348,女,大三,数据科学,2022,山东,17459905654,A区3栋486
STU000349,学生349,女,大四,工商管理,2020,福建,13978775497,A区1栋292
STU000350,学生350,男,大一,信息管理,2020,上海,19352188235,B区4栋313
STU000351,学生351,女,大四,数据科学,2021,广东,18433310361,C区3栋115
STU000352,学生352,男,大四,市场营销,2020,福建,14966040317,B区2栋220
STU000353,学生353,男,大三,计算机科学,2021,上海,14258220114,D区2栋309
STU000354,学生354,女,大二,物流管理,2022,广东,13149621604,D区2栋665
STU000355,学生355,女,大二,信息管理,2021,四川,14610173760,C区3栋489
STU000356,学生356,男,大四,信息管理,2021,山东,17925159146,D区5栋467
STU000357,学生357,女,大四,市场营销,2022,山东,13588999385,C区3栋468
STU000358,学生358,女,大三,市场营销,2020,湖北,16776205431,D区4栋200
STU000359,学生359,男,大四,电子商务,2021,广东,17308773243,D区3栋308
STU000360,学生360,男,大三,信息管理,2021,江苏,18847704681,C区3栋523
STU000361,学生361,女,大二,电子商务,2022,四川,16630833445,A区5栋326
STU000362,学生362,男,大二,电子商务,2020,浙江,16361976301,B区1栋367
STU000363,学生363,男,大一,物流管理,2021,上海,14804436922,D区3栋256
STU000364,学生364,女,大二,电子商务,2022,四川,18105953697,B区3栋335
STU000365,学生365,男,大四,数据科学,2021,广东,19926830795,D区5栋351
STU000366,学生366,男,大二,工商管理,2023,河南,13935822550,D区5栋445
STU000367,学生367,女,大三,计算机科学,2022,上海,16334978881,C区4栋602
STU000368,学生368,女,大二,市场营销,2020,北京,14963406382,D区2栋460
STU000369,学生369,男,大一,数据科学,2020,山东,18656152900,B区2栋659
STU000370,学生370,男,大二,计算机科学,2020,广东,16153921577,D区2栋655
STU000371,学生371,女,大三,信息管理,2020,北京,17367574609,A区5栋134
