日期,姓名,年龄,工资,邮箱,手机号,地址,部门,产品编码,订单金额,客户评分,物流时效,评价数量
2024-09-27,王五,52,7469,user635@example.com,19133274579,北京市朝阳区建国路69号,技术部,PRD5650,3355.61,100,11.4,96
2023-04-23,周九,22,15353,user112@example.com,13455943521,北京市朝阳区建国路26号,市场部,PRD2569,2807.1,69.1,21.9,104
2023-07-13,王五,53,19596,user193@example.com,13589486935,北京市朝阳区建国路14号,市场部,PRD2077,1793.97,89.6,23.4,81
2025-08-28,孙八,45,5352,user970@example.com,13144617470,北京市朝阳区建国路22号,销售部,PRD6615,4850.5,82.8,2.4,91
2024-06-21,孙八,27,18832,user537@example.com,19144253013,北京市朝阳区建国路37号,市场部,PRD6670,2361.11,86.1,32.1,97
2023-08-13,李四,49,16622,user224@example.com,19143607705,北京市朝阳区建国路74号,销售部,PRD2754,834.55,91.0,已签收,117
2023-04-18,周九,54,16249,user107@example.com,19899439142,北京市朝阳区建国路93号,人事部,,3949.19,89.3,3.6,89
2025-06-19,周九,56,7056,user900@example.com,13588918288,北京市朝阳区建国路38号,市场部,PRD9049,2993.62,90.0,5.6,87
2023-09-17,王五,35,13801,user259@example.com,13160432857,北京市朝阳区建国路96号,市场部,PRD1839,1984.96,71.9,25.4,97
2024-09-20,赵六,30,5362,user628@example.com,17903877008,北京市朝阳区建国路60号,技术部,PRD9478,690.01,100,5.6,92
2023-08-12,孙八,50,6304,user223@example.com,15766241469,北京市朝阳区建国路32号,销售部,PRD6221,2777.09,76.0,2-3天,108
2023-05-03,张三,45,9873,user122@example.com,13530924062,北京市朝阳区建国路78号,销售部,PRD8716,2942.98,74.9,1.6,96
2025-07-12,钱七,21,16577,user923@example.com,15196939060,北京市朝阳区建国路68号,市场部,PRD3686,1323.98,68.1,6.3,96
2025-08-29,王五,46,14094,user971@example.com,18526492364,北京市朝阳区建国路95号,技术部,PRD7915,1496.74,100,11.7,105
2025-05-17,吴十,21,14127,user867@example.com,17678418370,北京市朝阳区建国路71号,人事部,PRD1739,19263.19,95.6,47.0,103
2023-01-28,周九,47,8507,user27@example.com,19237923352,北京市朝阳区建国路15号,销售部,PRD6051,4243.51,93.9,12.8,98
2024-06-13,钱七,28,11402,user529@example.com,18650623800,北京市朝阳区建国路67号,技术部,PRD2607,2722.31,79.3,30.2,91
2023-02-14,赵六,,8600,user44@example.com,15748028937,北京市朝阳区建国路97号,技术部,PRD5606,8401.61,100,0.8,93
2025-02-26,王五,32,10179,user787@example.com,15310731589,北京市朝阳区建国路6号,销售部,PRD2108,6586.53,75.1,15.7,118
2025-09-11,钱七,32,8453,user984@example.com,17451732065,北京市朝阳区建国路91号,市场部,PRD6064,2597.66,89.3,52.0,112
2023-02-21,周九,59,"1,000,000",user51@example.com,13106602822,北京市朝阳区建国路37号,市场部,PRD6985,6358.52,65.8,15.4,99
2024-10-15,周九,38,7403,user653@example.com,15532601378,北京市朝阳区建国路92号,销售部,PRD1491,3569.87,92.6,15.3,96
2025-05-25,周九,34,19056,user875@example.com,17906712257,北京市朝阳区建国路58号,市场部,PRD8824,4018.43,74.9,5.3,98
2024-07-31,张三,38,18774,user577@example.com,13373534963,北京市朝阳区建国路32号,销售部,PRD7006,2653.68,95.4,7.1,103
2023-12-29,钱七,54,6750,user362@example.com,15207580584,北京市朝阳区建国路47号,销售部,PRD8827,9327.43,86.8,25.6,122
2024-07-18,赵六,47,16873,user564@example.com,18279862412,北京市朝阳区建国路31号,人事部,PRD4666,1852.98,80.9,21.2,111
2023-05-19,吴十,41,10954,user138@example.com,19639485450,北京市朝阳区建国路45号,技术部,PRD7426,1131.07,99.6,20.3,99
2025-09-13,赵六,37,5955,user986@example.com,15712470008,北京市朝阳区建国路13号,人事部,PRD7962,1189.56,67.2,6.3,105
2025-08-17,李四,48,13503,user959@example.com,18525823570,北京市朝阳区建国路63号,销售部,PRD2228,1632.1,99.9,11.9,116
2024-05-13,张三,47,15300,user498@example.com,15564418207,北京市朝阳区建国路70号,销售部,PRD9145,3471.16,79.0,1.8,97
2024-03-10,吴十,52,17303,user434@example.com,19516376543,北京市朝阳区建国路88号,销售部,PRD9689,2477.93,64.1,37.0,102
2025-02-22,周九,41,11635,user783@example.com,18318821632,北京市朝阳区建国路44号,人事部,PRD6412,2021.26,92.6,30.6,103
2025-08-30,孙八,24,18643,user972@example.com,19408706420,北京市朝阳区建国路99号,技术部,PRD9530,4872.03,78.3,8.0,104
2023-09-01,赵六,43,13232,user243@example.com,19130434423,北京市朝阳区建国路14号,销售部,PRD1862,2937.99,82.0,32.2,98
2023-07-03,王五,45,11852,user183@example.com,15710443491,北京市朝阳区建国路61号,技术部,PRD9729,1257.69,92.9,26.8,103
2023-08-11,吴十,42,13428,user222@example.com,19420427249,北京市朝阳区建国路71号,销售部,PRD7669,6570.0,73.2,-2,97
2023-11-20,李四,52,6240,user323@example.com,13807197766,北京市朝阳区建国路72号,市场部,PRD4309,4653.04,77.0,8.5,106
2024-05-21,赵六,44,16607,user506@example.com,13880774067,北京市朝阳区建国路22号,技术部,PRD8163,4328.36,88.2,10.8,100
2024-03-20,周九,32,9346,user444@example.com,18175952476,北京市朝阳区建国路10号,技术部,PRD6169,1421.39,78.9,27.4,106
2024-01-16,赵六,51,18327,user380@example.com,18965008676,北京市朝阳区建国路44号,人事部,PRD6703,2626.28,88.9,8.9,92
2025-08-25,李四,50,11236,user967@example.com,13149220294,北京市朝阳区建国路38号,技术部,PRD1336,6662.68,59.7,19.6,111
2024-03-26,钱七,36,8810,user450@example.com,18537924607,北京市朝阳区建国路49号,技术部,PRD9537,2243.28,81.1,15.5,98
2024-05-14,钱七,33,17260,user499@example.com,17834272175,北京市朝阳区建国路52号,人事部,PRD8198,3946.62,82.7,17.3,113
2023-05-10,王五,56,5054,user129@example.com,19754578770,北京市朝阳区建国路63号,人事部,PRD7563,4062.54,91.5,33.8,99
2023-09-02,钱七,30,15273,user244@example.com,19264170218,北京市朝阳区建国路89号,市场部,PRD2710,1733.29,81.7,20.0,98
2023-10-26,李四,43,11766,user298@example.com,18932576853,北京市朝阳区建国路49号,人事部,PRD5970,1584.13,81.6,48.1,112
2025-06-07,赵六,54,17430,user888@example.com,15325909921,北京市朝阳区建国路47号,技术部,PRD8961,1548.4,85.0,1.7,98
2025-02-06,赵六,45,19264,user767@example.com,19925477910,北京市朝阳区建国路38号,销售部,PRD8220,3957.8,78.2,30.6,93
2024-07-25,王五,35,6218,user571@example.com,13110675079,北京市朝阳区建国路8号,技术部,PRD5719,5231.96,80.3,20.6,117
2024-04-17,张三,55,9435,user472@example.com,18259829929,北京市朝阳区建国路64号,技术部,PRD4021,8429.64,79.6,6.9,106
2025-04-28,钱七,31,9197,user848@example.com,13229071497,北京市朝阳区建国路90号,销售部,PRD2374,4769.68,81.7,6.7,102
2023-03-15,张三,45,5688,user73@example.com,abc12345678,北京市朝阳区建国路6号,人事部,PRD7886,2653.95,90.5,13.1,117
2023-04-19,周九,20,17481,user108@example.com,13803983375,北京市朝阳区建国路66号,技术部,,1637.57,71.2,9.8,116
2023-07-02,孙八,21,15112,user182@example.com,17933326549,北京市朝阳区建国路15号,技术部,PRD4291,3190.59,92.0,39.8,87
2024-05-06,钱七,38,9494,user491@example.com,18559222354,北京市朝阳区建国路39号,市场部,PRD1618,9652.85,94.9,9.6,100
2025-01-01,张三,51,19294,user731@example.com,15492996606,北京市朝阳区建国路12号,市场部,PRD3646,3943.46,80.8,6.8,98
2024-06-17,赵六,48,13245,user533@example.com,15708506829,北京市朝阳区建国路39号,销售部,PRD5197,510.69,84.3,20.3,97
2025-07-23,周九,48,12179,user934@example.com,18486300912,北京市朝阳区建国路69号,技术部,PRD2351,3281.35,99.5,16.5,113
2024-12-09,赵六,39,11353,user708@example.com,15893277741,北京市朝阳区建国路34号,市场部,PRD4289,1140.77,77.9,13.0,99
2025-02-13,王五,54,8598,user774@example.com,19453186278,北京市朝阳区建国路77号,市场部,PRD9344,5061.41,100,17.7,100
01/19/2023,周九,43,9021,user17@example.com,13168897615,北京市朝阳区建国路71号,人事部,PRD7548,1036.44,99.9,17.4,110
2023-02-10,张三,-1,16473,user40@example.com,17734695573,北京市朝阳区建国路75号,销售部,PRD4548,1750.23,71.6,23.6,83
2024-11-21,张三,37,18507,user690@example.com,17992366379,北京市朝阳区建国路17号,技术部,PRD4420,4578.97,85.7,24.4,106
2024-01-25,吴十,22,17045,user389@example.com,19295331817,北京市朝阳区建国路91号,销售部,PRD2271,6950.43,84.4,10.9,108
2024-02-08,赵六,45,7419,user403@example.com,13359813360,北京市朝阳区建国路89号,人事部,PRD1905,963.81,69.8,16.5,105
2024-12-02,李四,24,19736,user701@example.com,15290504117,北京市朝阳区建国路50号,技术部,PRD7039,1235.81,82.3,17.7,103
2023-10-10,吴十,40,10490,user282@example.com,19357618951,北京市朝阳区建国路53号,技术部,PRD1385,4055.64,100,8.0,90
2023-06-26,周九,42,8452,user176@example.com,19996436087,北京市朝阳区建国路32号,技术部,PRD1219,2675.02,91.0,59.4,107
2023-06-28,张三,51,18859,user178@example.com,13369403764,北京市朝阳区建国路65号,市场部,PRD8406,3566.19,77.7,16.4,99
2023-06-18,王五,58,19289,user168@example.com,18649416933,北京市朝阳区建国路76号,人事部,PRD6176,3208.64,79.0,18.9,109
2023-12-10,赵六,53,16307,user343@example.com,18428136097,北京市朝阳区建国路69号,人事部,PRD7665,2835.96,78.5,6.9,96
2025-02-12,周九,57,5933,user773@example.com,18138222636,北京市朝阳区建国路48号,技术部,PRD9935,4284.29,73.2,8.3,108
2024-01-11,钱七,28,13044,user375@example.com,19959630685,北京市朝阳区建国路16号,技术部,PRD3622,5105.65,81.8,2.2,100
2024-04-01,钱七,45,7032,user456@example.com,19923687878,北京市朝阳区建国路5号,销售部,PRD1023,2827.03,90.1,15.0,101
2025-03-08,吴十,27,8633,user797@example.com,18289914497,北京市朝阳区建国路13号,人事部,PRD6266,4621.43,86.9,41.4,105
2024-04-12,李四,56,9361,user467@example.com,18210584008,北京市朝阳区建国路74号,人事部,PRD2436,3899.6,92.5,11.7,106
2024-07-05,张三,45,13194,user551@example.com,15543308102,北京市朝阳区建国路82号,市场部,PRD8166,3862.82,100,44.4,80
2024-08-10,吴十,30,10370,user587@example.com,17167785202,北京市朝阳区建国路38号,市场部,PRD6514,3328.61,81.1,26.7,112
2025-03-29,钱七,22,6763,user818@example.com,13359395269,北京市朝阳区建国路73号,人事部,PRD9250,5075.26,76.2,48.7,99
2025-08-08,李四,24,9790,user950@example.com,15601606483,北京市朝阳区建国路60号,市场部,PRD8481,5085.35,93.6,16.5,98
2024-02-03,赵六,24,18014,user398@example.com,18685385428,北京市朝阳区建国路31号,技术部,PRD7516,1500.82,100,29.2,111
2024-10-12,王五,56,14766,user650@example.com,18587543233,北京市朝阳区建国路15号,销售部,PRD7427,2271.17,65.5,17.4,94
2024-03-31,赵六,29,18245,user455@example.com,18587105454,北京市朝阳区建国路92号,市场部,PRD6743,2791.22,87.2,1.9,98
2024-06-18,赵六,56,12214,user534@example.com,15860481904,北京市朝阳区建国路9号,市场部,PRD8897,4418.43,71.3,12.5,77
2024-08-27,赵六,56,19559,user604@example.com,15669006037,北京市朝阳区建国路99号,人事部,PRD7045,2176.66,79.1,9.7,85
2024-10-03,李四,47,7808,user641@example.com,15632365087,北京市朝阳区建国路35号,市场部,PRD6942,2275.34,82.5,14.0,107
2024-05-09,吴十,38,14155,user494@example.com,13449016902,北京市朝阳区建国路56号,销售部,PRD8348,2254.79,76.1,56.6,96
2023-03-20,王五,44,10182,user78@example.com,+86-13888888888,北京市朝阳区建国路5号,人事部,PRD4340,7391.38,85.9,6.3,98
2025-09-02,孙八,29,19036,user975@example.com,18928168032,北京市朝阳区建国路62号,人事部,PRD2677,1719.0,76.7,28.7,97
2023-03-26,张三,43,6759,user84@example.com,19824515062,,人事部,PRD1510,2602.19,88.7,12.1,82
2024-07-23,孙八,51,15874,user569@example.com,18617240193,北京市朝阳区建国路44号,人事部,PRD5106,1825.75,69.5,28.5,85
2023-11-30,吴十,55,6252,user333@example.com,13538178035,北京市朝阳区建国路6号,人事部,PRD5442,8242.27,77.5,31.8,87
2025-09-15,王五,52,6712,user988@example.com,17327715723,北京市朝阳区建国路98号,市场部,PRD8083,4201.66,87.5,32.3,81
2023-06-19,周九,21,11150,user169@example.com,13912300456,北京市朝阳区建国路16号,销售部,PRD6136,7901.49,62.9,1.4,103
2025-06-05,李四,31,6709,user886@example.com,18562023448,北京市朝阳区建国路24号,销售部,PRD4551,2970.97,96.0,29.8,83
2024-12-14,钱七,21,13476,user713@example.com,17336557887,北京市朝阳区建国路3号,技术部,PRD3810,8077.86,81.3,20.7,109
2024-06-04,周九,37,6389,user520@example.com,19313720937,北京市朝阳区建国路37号,销售部,PRD6031,5617.46,96.4,21.2,114
2025-05-30,钱七,50,12833,user880@example.com,18321407009,北京市朝阳区建国路97号,人事部,PRD2231,2132.43,96.2,27.7,97
2024-07-10,钱七,47,12287,user556@example.com,15533000773,北京市朝阳区建国路57号,人事部,PRD2882,3680.74,75.5,3.6,104
2024-10-02,钱七,25,14017,user640@example.com,17713348915,北京市朝阳区建国路19号,技术部,PRD2073,2741.7,87.3,39.5,94
2025-03-06,王五,41,6050,user795@example.com,18827137409,北京市朝阳区建国路57号,销售部,PRD5561,5092.67,100,32.5,114
2023-05-26,吴十,49,8310,user145@example.com,15314966002,北京市朝阳区建国路39号,人事部,PRD5096,3093.34,97.2,34.5,96
2024-12-12,孙八,53,9799,user711@example.com,17441517294,北京市朝阳区建国路17号,销售部,PRD3939,1112.19,76.0,5.5,99
2025-05-21,张三,28,13032,user871@example.com,15614297200,北京市朝阳区建国路71号,人事部,PRD9035,5077.6,85.0,59.4,100
2023-01,周九,49,9662,user18@example.com,18539228228,北京市朝阳区建国路13号,人事部,PRD7477,4684.46,79.2,6.4,107
2024-12-17,吴十,42,13954,user716@example.com,18957928894,北京市朝阳区建国路56号,销售部,PRD7497,1399.54,74.6,17.1,108
2023-03-17,李四,48,8701,user75@example.com,138 8888 8888,北京市朝阳区建国路5号,销售部,PRD8882,972.7,82.5,5.1,103
2024-08-23,李四,45,17880,user600@example.com,13885867382,北京市朝阳区建国路72号,人事部,PRD3519,2935.57,75.4,10.5,92
2024-10-29,孙八,27,17647,user667@example.com,17937144389,北京市朝阳区建国路14号,市场部,PRD3297,7987.27,88.6,26.1,99
2024-09-23,王五,44,18481,user631@example.com,19436478997,北京市朝阳区建国路54号,市场部,PRD5655,5196.44,91.9,19.5,89
2023-12-14,孙八,41,10136,user347@example.com,17968853126,北京市朝阳区建国路56号,技术部,PRD9722,1243.23,81.5,3.7,95
2023-07-07,周九,23,6409,user187@example.com,13532052220,北京市朝阳区建国路3号,技术部,PRD4109,5698.9,76.4,2.7,81
2023-08-10,李四,44,9033,user221@example.com,13852017755,北京市朝阳区建国路48号,销售部,PRD9874,5907.2,90.5,240,100
2023-04-29,钱七,46,8335,user118@example.com,18495264459,北京市朝阳区建国路82号,市场部,PRD1398,5157.21,58.6,11.7,113
2023-06-13,周九,34,17469,user163@example.com,15881933786,北京市朝阳区建国路28号,人事部,PRD3437,6801.69,91.2,12.3,101
2024-07-04,张三,29,19551,user550@example.com,18623222736,北京市朝阳区建国路4号,人事部,PRD5723,2028.62,73.7,23.7,87
2023-08-16,钱七,35,6301,user227@example.com,15220298624,北京市朝阳区建国路45号,市场部,PRD3271,2940.34,71.3,48h+,100
2023-11-09,周九,59,17652,user312@example.com,18603710707,北京市朝阳区建国路73号,市场部,PRD8772,588.78,100,9.8,115
2024-04-26,周九,32,11467,user481@example.com,19119820471,北京市朝阳区建国路99号,销售部,PRD8397,2245.64,98.0,33.3,102
2023-03-14,孙八,43,8432,user72@example.com,2345678901,北京市朝阳区建国路41号,技术部,PRD3705,1502.65,89.8,34.7,84
2025-01-15,钱七,33,15396,user745@example.com,18567959277,北京市朝阳区建国路98号,销售部,PRD2833,6793.42,81.7,15.2,99
2025-09-24,张三,50,16171,user997@example.com,13160454575,北京市朝阳区建国路55号,技术部,PRD4885,2388.17,93.9,29.6,102
2023-02-02, 王五 ,26,13766,user32@example.com,18996773100,北京市朝阳区建国路6号,技术部,PRD7571,6111.81,95.7,12.5,110
2024-11-03,孙八,31,17962,user672@example.com,18192661724,北京市朝阳区建国路55号,销售部,PRD3704,2150.66,73.4,10.4,105
2023-03-16,钱七,44,9243,user74@example.com,13-888-88888,北京市朝阳区建国路79号,技术部,PRD2463,1938.96,90.5,40.0,88
2024-09-04,孙八,47,19177,user612@example.com,13592773577,北京市朝阳区建国路70号,技术部,PRD9031,4890.54,71.3,13.9,100
2023-06-06,吴十,25,14503,user156@example.com,13522810431,北京市朝阳区建国路27号,销售部,PRD8100,722.16,93.5,2.6,102
2023-12-04,李四,35,8549,user337@example.com,15837791355,北京市朝阳区建国路54号,技术部,PRD5091,1350.17,82.2,23.3,92
2025-09-18,张三,55,14465,user991@example.com,17978008447,北京市朝阳区建国路49号,人事部,PRD4942,2439.51,96.0,4.4,101
2024-11-15,李四,30,5571,user684@example.com,13299132562,北京市朝阳区建国路64号,人事部,PRD9393,2946.71,89.9,9.2,103
2025-04-20,孙八,24,16758,user840@example.com,19294768743,北京市朝阳区建国路57号,销售部,PRD1404,4446.12,85.8,16.0,99
2023-12-01,吴十,39,9203,user334@example.com,17452991467,北京市朝阳区建国路33号,人事部,PRD7150,2051.67,83.2,11.9,82
